SAMPLE	TYPE	COUNT
SB0-0002	LOW	13746
SB0-0005	HIGH	665
SB0-0005	MODERATE	11386
SB0-0005	MODIFIER	13824
SB0-0005	LOW	13686
SB00009	HIGH	390
SB00009	MODERATE	7356
SB00009	MODIFIER	7497
SB00009	LOW	8687
SB1-0002	HIGH	647
SB1-0002	MODERATE	11343
SB1-0002	MODIFIER	13802
SB1-0002	LOW	13867
SB1-0003	HIGH	679
SB1-0003	MODERATE	11485
SB1-0003	MODIFIER	14113
SB1-0003	LOW	13787
SB1-0020	HIGH	661
SB1-0020	MODERATE	11107
SB1-0020	MODIFIER	13888
SB1-0020	LOW	13573
SB1-0055	HIGH	646
SB1-0055	MODERATE	11371
SB1-0055	MODIFIER	13830
SB1-0055	LOW	13860
SB1-0089	HIGH	652
SB1-0089	MODERATE	11235
SB1-0089	MODIFIER	14001
SB1-0089	LOW	13924
SB1-0327	HIGH	681
SB1-0327	MODERATE	11463
SB1-0327	MODIFIER	13794
SB1-0327	LOW	13880
SB10001	HIGH	662
SB10001	MODERATE	11163
SB10001	MODIFIER	13748
SB10001	LOW	13637
SB10050	HIGH	641
SB10050	MODERATE	11024
SB10050	MODIFIER	13821
SB10050	LOW	13364
SB10079	HIGH	650
SB10079	MODERATE	10980
SB10079	MODIFIER	13703
SB10079	LOW	13450
SB10083	HIGH	639
SB10083	MODERATE	11206
SB10083	MODIFIER	13797
SB10083	LOW	13803
SB10087	HIGH	669
SB10087	MODERATE	11355
SB10087	MODIFIER	13760
SB10087	LOW	13720
SB10095	HIGH	696
SB10095	MODERATE	11218
SB10095	MODIFIER	13916
SB10095	LOW	13652
SB10117	HIGH	382
SB10117	MODERATE	6814
SB10117	MODIFIER	6902
SB10117	LOW	8095
SB4-0003	HIGH	633
SB4-0003	MODERATE	11319
SB4-0003	MODIFIER	14048
SB4-0003	LOW	13791
SB4-0004	HIGH	643
SB4-0004	MODERATE	11214
SB4-0004	MODIFIER	13892
SB4-0004	LOW	13597
SB4-0008	HIGH	656
SB4-0008	MODERATE	11151
SB4-0008	MODIFIER	13614
SB4-0008	LOW	13620
SB4-0022	HIGH	677
SB4-0022	MODERATE	11107
SB4-0022	MODIFIER	14028
SB4-0022	LOW	13647
SB4-0032	HIGH	671
SB4-0032	MODERATE	11243
SB4-0032	MODIFIER	13887
SB4-0032	LOW	13671
SB4-0040	HIGH	670
SB4-0040	MODERATE	11248
SB4-0040	MODIFIER	13995
SB4-0040	LOW	13776
SB40014	HIGH	651
SB40014	MODERATE	11430
SB40014	MODIFIER	13953
SB40014	LOW	13877
SB40027	HIGH	658
SB40027	MODERATE	11219
SB40027	MODIFIER	13787
SB40027	LOW	13752
SB40038	HIGH	665
SB40038	MODERATE	11332
SB40038	MODIFIER	13740
SB40038	LOW	13724
SB40039	HIGH	438
SB40039	MODERATE	8227
SB40039	MODIFIER	8695
SB40039	LOW	9785
SB4006	HIGH	629
SB4006	MODERATE	10991
SB4006	MODIFIER	13864
SB4006	LOW	13630
SBR045	HIGH	608
SBR045	MODERATE	10736
SBR045	MODIFIER	11499
SBR045	LOW	12190
SBR045n	HIGH	617
SBR045n	MODERATE	11143
SBR045n	MODIFIER	12388
SBR045n	LOW	12855
SBR117	HIGH	623
SBR117	MODERATE	10512
SBR117	MODIFIER	12554
SBR117	LOW	12921
SBR124	HIGH	610
SBR124	MODERATE	11177
SBR124	MODIFIER	13678
SBR124	LOW	13751
SBR125	HIGH	652
SBR125	MODERATE	11329
SBR125	MODIFIER	14169
SBR125	LOW	13880
SBR126	HIGH	653
SBR126	MODERATE	11093
SBR126	MODIFIER	13865
SBR126	LOW	13630
SBR127	HIGH	698
SBR127	MODERATE	11141
SBR127	MODIFIER	13769
SBR127	LOW	13579
SBR128	HIGH	642
SBR128	MODERATE	11043
SBR128	MODIFIER	13751
SBR128	LOW	13558
SBR129	HIGH	633
SBR129	MODERATE	10803
SBR129	MODIFIER	13734
SBR129	LOW	13366
SBR130	HIGH	654
SBR130	MODERATE	11228
SBR130	MODIFIER	13870
SBR130	LOW	13725
SBR133	HIGH	620
SBR133	MODERATE	11011
SBR133	MODIFIER	13401
SBR133	LOW	13488
SBR134	HIGH	681
SBR134	MODERATE	11248
SBR134	MODIFIER	13772
SBR134	LOW	13740
SBR135	HIGH	597
SBR135	MODERATE	10959
SBR135	MODIFIER	13543
SBR135	LOW	13539
SBR136	HIGH	577
SBR136	MODERATE	10473
SBR136	MODIFIER	12372
SBR136	LOW	12673
SBR137	HIGH	622
SBR137	MODERATE	11153
SBR137	MODIFIER	13262
SBR137	LOW	13488
SBR138	HIGH	573
SBR138	MODERATE	10578
SBR138	MODIFIER	12408
SBR138	LOW	12869
SBR139	HIGH	630
SBR139	MODERATE	11006
SBR139	MODIFIER	13545
SBR139	LOW	13491
SBR140	HIGH	648
SBR140	MODERATE	11238
SBR140	MODIFIER	14055
SBR140	LOW	13783
SBR141	HIGH	614
SBR141	MODERATE	11012
SBR141	MODIFIER	13381
SBR141	LOW	13536
SBR142	HIGH	663
SBR142	MODERATE	11007
SBR142	MODIFIER	13512
SBR142	LOW	13559
SBR143	HIGH	629
SBR143	MODERATE	11289
SBR143	MODIFIER	13578
SBR143	LOW	13679
SBR146	HIGH	632
SBR146	MODERATE	11004
SBR146	MODIFIER	13454
SBR146	LOW	13649
SBR147	HIGH	664
SBR147	MODERATE	11475
SBR147	MODIFIER	13698
SBR147	LOW	13718
SBR148	HIGH	624
SBR148	MODERATE	10958
SBR148	MODIFIER	13143
SBR148	LOW	13370
SBR150	HIGH	605
SBR150	MODERATE	10966
SBR150	MODIFIER	13587
SBR150	LOW	13520
SBR155	HIGH	607
SBR155	MODERATE	10918
SBR155	MODIFIER	13232
SBR155	LOW	13374
SBR157	HIGH	579
SBR157	MODERATE	10780
SBR157	MODIFIER	12667
SBR157	LOW	13062
SBR158	HIGH	646
SBR158	MODERATE	11115
SBR158	MODIFIER	13615
SBR158	LOW	13457
SBR159	HIGH	633
SBR159	MODERATE	11167
SBR159	MODIFIER	13592
SBR159	LOW	13727
SBR160	HIGH	661
SBR160	MODERATE	11260
SBR160	MODIFIER	13139
SBR160	LOW	13548
SBR161	HIGH	657
SBR161	MODERATE	11229
SBR161	MODIFIER	13714
SBR161	LOW	13700
SBR162	HIGH	592
SBR162	MODERATE	10737
SBR162	MODIFIER	13105
SBR162	LOW	13217
SBR165	HIGH	622
SBR165	MODERATE	11161
SBR165	MODIFIER	13134
SBR165	LOW	13465
SBR169	HIGH	650
SBR169	MODERATE	11292
SBR169	MODIFIER	13736
SBR169	LOW	13895
SBR170	HIGH	641
SBR170	MODERATE	11105
SBR170	MODIFIER	13867
SBR170	LOW	13631
SBR175	HIGH	643
SBR175	MODERATE	10975
SBR175	MODIFIER	13660
SBR175	LOW	13567
SBR176	HIGH	658
SBR176	MODERATE	11085
SBR176	MODIFIER	13866
SBR176	LOW	13800
SBR177	HIGH	661
SBR177	MODERATE	11093
SBR177	MODIFIER	13675
SBR177	LOW	13623
SBR180	HIGH	619
SBR180	MODERATE	11096
SBR180	MODIFIER	13931
SBR180	LOW	13623
SBR181	HIGH	628
SBR181	MODERATE	11094
SBR181	MODIFIER	13688
SBR181	LOW	13742
SBR183	HIGH	608
SBR183	MODERATE	11164
SBR183	MODIFIER	13686
SBR183	LOW	13700
SBR184	HIGH	596
SBR184	MODERATE	11105
SBR184	MODIFIER	12270
SBR184	LOW	12531
SBR185	HIGH	589
SBR185	MODERATE	11044
SBR185	MODIFIER	12227
SBR185	LOW	12662
SBR186	HIGH	589
SBR186	MODERATE	10988
SBR186	MODIFIER	12251
SBR186	LOW	12486
SBR188	HIGH	603
SBR188	MODERATE	10749
SBR188	MODIFIER	11946
SBR188	LOW	12442
SBR190	HIGH	630
SBR190	MODERATE	10921
SBR190	MODIFIER	13485
SBR190	LOW	13572
SBR191	HIGH	625
SBR191	MODERATE	11100
SBR191	MODIFIER	13513
SBR191	LOW	13783
SBR193	HIGH	647
SBR193	MODERATE	11293
SBR193	MODIFIER	13619
SBR193	LOW	13670
SBR197	HIGH	612
SBR197	MODERATE	11128
SBR197	MODIFIER	13623
SBR197	LOW	13665
SBR198	HIGH	622
SBR198	MODERATE	10949
SBR198	MODIFIER	13569
SBR198	LOW	13703
SBR200	HIGH	649
SBR200	MODERATE	11258
SBR200	MODIFIER	13652
SBR200	LOW	13612
SBR203	HIGH	99
SBR203	MODERATE	2509
SBR203	MODIFIER	696
SBR203	LOW	3691
SBR204	HIGH	656
SBR204	MODERATE	11128
SBR204	MODIFIER	13601
SBR204	LOW	13524
SBR205	HIGH	641
SBR205	MODERATE	11035
SBR205	MODIFIER	13790
SBR205	LOW	13449
SBR206	HIGH	642
SBR206	MODERATE	11182
SBR206	MODIFIER	13537
SBR206	LOW	13565
SBR207	HIGH	634
SBR207	MODERATE	11141
SBR207	MODIFIER	13698
SBR207	LOW	13634
SBR208	HIGH	644
SBR208	MODERATE	11121
SBR208	MODIFIER	13378
SBR208	LOW	13708
SBR209	HIGH	644
SBR209	MODERATE	11148
SBR209	MODIFIER	13601
SBR209	LOW	13627
SBR210	HIGH	640
SBR210	MODERATE	11117
