SAMPLE	TYPE	COUNT
SCH01843	LOW	12883
SCH01844	HIGH	587
SCH01844	MODERATE	11201
SCH01844	MODIFIER	12516
SCH01844	LOW	12606
SCH01845	HIGH	592
SCH01845	MODERATE	10997
SCH01845	MODIFIER	12365
SCH01845	LOW	12497
SCH01846	HIGH	623
SCH01846	MODERATE	10972
SCH01846	MODIFIER	12439
SCH01846	LOW	12634
SCH01847	HIGH	602
SCH01847	MODERATE	11330
SCH01847	MODIFIER	12404
SCH01847	LOW	12655
SCH01848	HIGH	652
SCH01848	MODERATE	11350
SCH01848	MODIFIER	12428
SCH01848	LOW	12864
SCH01849	HIGH	620
SCH01849	MODERATE	11199
SCH01849	MODIFIER	12520
SCH01849	LOW	12619
SCH01850	HIGH	584
SCH01850	MODERATE	11035
SCH01850	MODIFIER	12062
SCH01850	LOW	12440
SCH01851	HIGH	628
SCH01851	MODERATE	11352
SCH01851	MODIFIER	12582
SCH01851	LOW	12693
SCH01852	HIGH	589
SCH01852	MODERATE	11063
SCH01852	MODIFIER	12431
SCH01852	LOW	12615
SCH01853	HIGH	645
SCH01853	MODERATE	11358
SCH01853	MODIFIER	12977
SCH01853	LOW	12982
SCH01854	HIGH	659
SCH01854	MODERATE	11430
SCH01854	MODIFIER	12872
SCH01854	LOW	13044
SCH01855	HIGH	647
SCH01855	MODERATE	11578
SCH01855	MODIFIER	13084
SCH01855	LOW	13188
SCH01859	HIGH	648
SCH01859	MODERATE	11284
SCH01859	MODIFIER	12761
SCH01859	LOW	12765
SCH01860	HIGH	630
SCH01860	MODERATE	11282
SCH01860	MODIFIER	12773
SCH01860	LOW	13016
SCH01861	HIGH	629
SCH01861	MODERATE	11203
SCH01861	MODIFIER	12697
SCH01861	LOW	12959
SCH01893	HIGH	629
SCH01893	MODERATE	11286
SCH01893	MODIFIER	12854
SCH01893	LOW	12885
SCH01894	HIGH	627
SCH01894	MODERATE	11286
SCH01894	MODIFIER	12872
SCH01894	LOW	12866
SCH01895	HIGH	632
SCH01895	MODERATE	11206
SCH01895	MODIFIER	12871
SCH01895	LOW	12905
SCH01896	HIGH	639
SCH01896	MODERATE	11377
SCH01896	MODIFIER	12934
SCH01896	LOW	12969
SCH01897	HIGH	626
SCH01897	MODERATE	11104
SCH01897	MODIFIER	12826
SCH01897	LOW	12842
SCH01944	HIGH	587
SCH01944	MODERATE	10776
SCH01944	MODIFIER	11977
SCH01944	LOW	12182
SCH01945	HIGH	608
SCH01945	MODERATE	11229
SCH01945	MODIFIER	12794
SCH01945	LOW	12930
SCH01965	HIGH	611
SCH01965	MODERATE	11207
SCH01965	MODIFIER	12695
SCH01965	LOW	12913
SCH01966	HIGH	587
SCH01966	MODERATE	11168
SCH01966	MODIFIER	12064
SCH01966	LOW	12571
SCH01967	HIGH	576
SCH01967	MODERATE	10818
SCH01967	MODIFIER	11992
SCH01967	LOW	12209
SCH01968	HIGH	613
SCH01968	MODERATE	11260
SCH01968	MODIFIER	13142
SCH01968	LOW	12897
SCH01969	HIGH	603
SCH01969	MODERATE	11093
SCH01969	MODIFIER	12830
SCH01969	LOW	12653
SCH01970	HIGH	610
SCH01970	MODERATE	11077
SCH01970	MODIFIER	12694
SCH01970	LOW	12622
SCH01971	HIGH	581
SCH01971	MODERATE	11080
SCH01971	MODIFIER	12574
SCH01971	LOW	12700
SCH02301	HIGH	661
SCH02301	MODERATE	11382
SCH02301	MODIFIER	13988
SCH02301	LOW	13833
SCH02617	HIGH	670
SCH02617	MODERATE	11265
SCH02617	MODIFIER	13852
SCH02617	LOW	13655
SCH02618	HIGH	651
SCH02618	MODERATE	11157
SCH02618	MODIFIER	13902
SCH02618	LOW	13688
SCH02619	HIGH	577
SCH02619	MODERATE	10823
SCH02619	MODIFIER	13363
SCH02619	LOW	13354
SCH02620	HIGH	640
SCH02620	MODERATE	11288
SCH02620	MODIFIER	13616
SCH02620	LOW	13734
SCH02621	HIGH	642
SCH02621	MODERATE	10931
SCH02621	MODIFIER	13473
SCH02621	LOW	13482
SCH02622	HIGH	616
SCH02622	MODERATE	10944
SCH02622	MODIFIER	13371
SCH02622	LOW	13404
SCH02625	HIGH	630
SCH02625	MODERATE	10957
SCH02625	MODIFIER	13526
SCH02625	LOW	13480
SCH02626	HIGH	656
SCH02626	MODERATE	11175
SCH02626	MODIFIER	13650
SCH02626	LOW	13882
SCH02627	HIGH	623
SCH02627	MODERATE	11115
SCH02627	MODIFIER	13834
SCH02627	LOW	13726
SCH02628	HIGH	626
SCH02628	MODERATE	10870
SCH02628	MODIFIER	13246
SCH02628	LOW	13395
SCH02629	HIGH	621
SCH02629	MODERATE	11000
SCH02629	MODIFIER	13666
SCH02629	LOW	13552
SCH02630	HIGH	619
SCH02630	MODERATE	11024
SCH02630	MODIFIER	13613
SCH02630	LOW	13650
SCH02631	HIGH	629
SCH02631	MODERATE	11027
SCH02631	MODIFIER	13226
SCH02631	LOW	13575
SCH02632	HIGH	610
SCH02632	MODERATE	10962
SCH02632	MODIFIER	13322
SCH02632	LOW	13591
SCH02633	HIGH	577
SCH02633	MODERATE	10950
SCH02633	MODIFIER	13484
SCH02633	LOW	13426
SCH02768	HIGH	664
SCH02768	MODERATE	11039
SCH02768	MODIFIER	13721
SCH02768	LOW	13659
SCH02812	HIGH	635
SCH02812	MODERATE	11536
SCH02812	MODIFIER	12859
SCH02812	LOW	13128
SCH02813	HIGH	614
SCH02813	MODERATE	11295
SCH02813	MODIFIER	12486
SCH02813	LOW	12683
SCH02814	HIGH	615
SCH02814	MODERATE	11391
SCH02814	MODIFIER	12843
SCH02814	LOW	12938
SCH02815	HIGH	583
SCH02815	MODERATE	11181
SCH02815	MODIFIER	12340
SCH02815	LOW	12668
SCH02816	HIGH	616
SCH02816	MODERATE	11278
SCH02816	MODIFIER	12648
SCH02816	LOW	12746
SCH02817	HIGH	638
SCH02817	MODERATE	11335
SCH02817	MODIFIER	12569
SCH02817	LOW	12806
SCH02818	HIGH	640
SCH02818	MODERATE	11399
SCH02818	MODIFIER	12584
SCH02818	LOW	12964
SCH02819	HIGH	631
SCH02819	MODERATE	11361
SCH02819	MODIFIER	12722
SCH02819	LOW	12993
SCH02882	HIGH	626
SCH02882	MODERATE	11374
SCH02882	MODIFIER	12545
SCH02882	LOW	12865
SCH02883	HIGH	631
SCH02883	MODERATE	11181
SCH02883	MODIFIER	12504
SCH02883	LOW	12790
SCH02884	HIGH	615
SCH02884	MODERATE	11179
SCH02884	MODIFIER	12689
SCH02884	LOW	12946
SCH02885	HIGH	597
SCH02885	MODERATE	11187
SCH02885	MODIFIER	12402
SCH02885	LOW	12632
SCH03012	HIGH	612
SCH03012	MODERATE	11212
SCH03012	MODIFIER	12293
SCH03012	LOW	12744
SCH2009	HIGH	615
SCH2009	MODERATE	10987
SCH2009	MODIFIER	12112
SCH2009	LOW	12428
SCH2224	HIGH	616
SCH2224	MODERATE	11268
SCH2224	MODIFIER	12423
SCH2224	LOW	12602
SE	HIGH	619
SE	MODERATE	11089
SE	MODIFIER	13190
SE	LOW	13389
SFFPE-block	HIGH	2771
SFFPE-block	MODERATE	11446
SFFPE-block	MODIFIER	13635
SFFPE-block	LOW	12501
SGMD453	HIGH	128
SGMD453	MODERATE	3050
SGMD453	MODIFIER	886
SGMD453	LOW	4418
SGO8401	HIGH	127
SGO8401	MODERATE	2953
SGO8401	MODIFIER	859
SGO8401	LOW	4258
SGetero	HIGH	198
SGetero	MODERATE	3407
SGetero	MODIFIER	1643
SGetero	LOW	3788
SHUVOS	HIGH	407
SHUVOS	MODERATE	8035
SHUVOS	MODIFIER	4455
SHUVOS	LOW	9105
SHorion	HIGH	600
SHorion	MODERATE	10774
SHorion	MODIFIER	12043
SHorion	LOW	12814
SII	HIGH	561
SII	MODERATE	10339
SII	MODIFIER	8600
SII	LOW	12263
SMV18-1	HIGH	585
SMV18-1	MODERATE	11006
SMV18-1	MODIFIER	12363
SMV18-1	LOW	12771
SMV834	HIGH	641
SMV834	MODERATE	11259
SMV834	MODIFIER	13661
SMV834	LOW	13826
SMV835	HIGH	640
SMV835	MODERATE	11460
SMV835	MODIFIER	14091
SMV835	LOW	13953
SMV984	HIGH	616
SMV984	MODERATE	11149
SMV984	MODIFIER	12490
SMV984	LOW	12654
SORF2	HIGH	629
SORF2	MODERATE	11009
SORF2	MODIFIER	13539
SORF2	LOW	13459
SORF3	HIGH	660
SORF3	MODERATE	11121
SORF3	MODIFIER	13728
SORF3	LOW	13605
SORP0004	HIGH	589
SORP0004	MODERATE	10990
SORP0004	MODIFIER	13328
SORP0004	LOW	13558
SOTTU	HIGH	692
SOTTU	MODERATE	10581
SOTTU	MODIFIER	11809
SOTTU	LOW	12538
SS	HIGH	641
SS	MODERATE	11170
SS	MODIFIER	13658
SS	LOW	13608
SSMA2	HIGH	680
SSMA2	MODERATE	11263
SSMA2	MODIFIER	14024
SSMA2	LOW	13819
SSMA3	HIGH	660
SSMA3	MODERATE	11088
SSMA3	MODIFIER	13964
SSMA3	LOW	13783
SSSExomesv6DNA01indexA01	HIGH	591
SSSExomesv6DNA01indexA01	MODERATE	10483
SSSExomesv6DNA01indexA01	MODIFIER	34354
SSSExomesv6DNA01indexA01	LOW	12858
SSSExomesv6DNA02indexB01	HIGH	565
SSSExomesv6DNA02indexB01	MODERATE	10425
SSSExomesv6DNA02indexB01	MODIFIER	34356
SSSExomesv6DNA02indexB01	LOW	12724
SSSExomesv6DNA03indexC01	HIGH	586
SSSExomesv6DNA03indexC01	MODERATE	10343
SSSExomesv6DNA03indexC01	MODIFIER	34113
SSSExomesv6DNA03indexC01	LOW	12746
SSSExomesv6DNA04indexD01	HIGH	581
SSSExomesv6DNA04indexD01	MODERATE	10453
SSSExomesv6DNA04indexD01	MODIFIER	34049
SSSExomesv6DNA04indexD01	LOW	12873
SSSExomesv6DNA05indexE01	HIGH	591
SSSExomesv6DNA05indexE01	MODERATE	10503
SSSExomesv6DNA05indexE01	MODIFIER	34314
SSSExomesv6DNA05indexE01	LOW	12718
SSSExomesv6DNA06indexF01	HIGH	584
SSSExomesv6DNA06indexF01	MODERATE	10425
SSSExomesv6DNA06indexF01	MODIFIER	34263
SSSExomesv6DNA06indexF01	LOW	12640
SSSExomesv6DNA07indexG01	HIGH	606
SSSExomesv6DNA07indexG01	MODERATE	10617
SSSExomesv6DNA07indexG01	MODIFIER	34418
SSSExomesv6DNA07indexG01	LOW	12827
SSSExomesv6DNA08indexH01	HIGH	606
SSSExomesv6DNA08indexH01	MODERATE	10369
SSSExomesv6DNA08indexH01	MODIFIER	34060
SSSExomesv6DNA08indexH01	LOW	12636
SSSExomesv6DNA09indexA02	HIGH	587
SSSExomesv6DNA09indexA02	MODERATE	10589
SSSExomesv6DNA09indexA02	MODIFIER	34275
SSSExomesv6DNA09indexA02	LOW	12995
SSSExomesv6DNA10indexB02	HIGH	582
SSSExomesv6DNA10indexB02	MODERATE	10297
SSSExomesv6DNA10indexB02	MODIFIER	34185
SSSExomesv6DNA10indexB02	LOW	12796
Sex82	HIGH	134
Sex82	MODERATE	3021
Sex82	MODIFIER	819
Sex82	LOW	4272
Smel	HIGH	569
Smel	MODERATE	11025
Smel	MODIFIER	8113
Smel	LOW	12601
Spav	HIGH	584
Spav	MODERATE	11028
Spav	MODIFIER	8818
Spav	LOW	12738
Ssrr	HIGH	580
Ssrr	MODERATE	10989
Ssrr	MODIFIER	8645
Ssrr	LOW	12801
ces_26.sample_291	HIGH	146
ces_26.sample_291	MODERATE	2999
ces_26.sample_291	MODIFIER	963
ces_26.sample_291	LOW	4338
ces_26.sample_BR74	HIGH	126
ces_26.sample_BR74	MODERATE	2971
ces_26.sample_BR74	MODIFIER	935
ces_26.sample_BR74	LOW	4239
ces_28.sample_563-17	HIGH	156
ces_28.sample_563-17	MODERATE	3169
ces_28.sample_563-17	MODIFIER	888
ces_28.sample_563-17	LOW	4457
ces_28.sample_598-17	HIGH	131
ces_28.sample_598-17	MODERATE	3077
ces_28.sample_598-17	MODIFIER	940
ces_28.sample_598-17	LOW	4378
ces_28.sample_599-17	HIGH	131
ces_28.sample_599-17	MODERATE	2901
ces_28.sample_599-17	MODIFIER	902
ces_28.sample_599-17	LOW	4214
ces_28.sample_600-17	HIGH	152
ces_28.sample_600-17	MODERATE	3157
ces_28.sample_600-17	MODIFIER	930
ces_28.sample_600-17	LOW	4466
ces_28.sample_601-17	HIGH	127
ces_28.sample_601-17	MODERATE	2961
ces_28.sample_601-17	MODIFIER	789
ces_28.sample_601-17	LOW	4141
ces_28.sample_BR45	HIGH	128
ces_28.sample_BR45	MODERATE	2996
ces_28.sample_BR45	MODIFIER	945
ces_28.sample_BR45	LOW	4415
ces_28.sample_BR72	HIGH	134
ces_28.sample_BR72	MODERATE	3029
ces_28.sample_BR72	MODIFIER	922
ces_28.sample_BR72	LOW	4382
ces_28.sample_BR73	HIGH	132
ces_28.sample_BR73	MODERATE	2977
ces_28.sample_BR73	MODIFIER	934
ces_28.sample_BR73	LOW	4388
ces_28.sample_BR75	HIGH	152
ces_28.sample_BR75	MODERATE	3010
ces_28.sample_BR75	MODIFIER	942
ces_28.sample_BR75	LOW	4434
ces_28.sample_BR76	HIGH	138
ces_28.sample_BR76	MODERATE	2947
ces_28.sample_BR76	MODIFIER	900
ces_28.sample_BR76	LOW	4363
ces_28.sample_BR79	HIGH	136
ces_28.sample_BR79	MODERATE	2888
ces_28.sample_BR79	MODIFIER	870
ces_28.sample_BR79	LOW	4216
ces_28.sample_BR82	HIGH	129
ces_28.sample_BR82	MODERATE	2978
ces_28.sample_BR82	MODIFIER	932
ces_28.sample_BR82	LOW	4340
ces_28.sample_BR83	HIGH	139
ces_28.sample_BR83	MODERATE	3045
ces_28.sample_BR83	MODIFIER	922
ces_28.sample_BR83	LOW	4389
ces_28.sample_BR91	HIGH	130
ces_28.sample_BR91	MODERATE	2998
ces_28.sample_BR91	MODIFIER	860
ces_28.sample_BR91	LOW	4248
ces_28.sample_BR92	HIGH	151
ces_28.sample_BR92	MODERATE	3028
ces_28.sample_BR92	MODIFIER	943
ces_28.sample_BR92	LOW	4443
ces_28.sample_BR94	HIGH	149
ces_28.sample_BR94	MODERATE	3197
ces_28.sample_BR94	MODIFIER	922
ces_28.sample_BR94	LOW	4501
ces_28.sample_NF	HIGH	134
ces_28.sample_NF	MODERATE	3079
ces_28.sample_NF	MODIFIER	942
ces_28.sample_NF	LOW	4569
ces_30.sample_15901854	HIGH	140
ces_30.sample_15901854	MODERATE	3108
ces_30.sample_15901854	MODIFIER	961
ces_30.sample_15901854	LOW	4523
ces_30.sample_CH00338	HIGH	142
ces_30.sample_CH00338	MODERATE	3053
ces_30.sample_CH00338	MODIFIER	999
ces_30.sample_CH00338	LOW	4376
ces_30.sample_CH00343	HIGH	146
ces_30.sample_CH00343	MODERATE	3064
ces_30.sample_CH00343	MODIFIER	949
ces_30.sample_CH00343	LOW	4412
ces_30.sample_CH00357	HIGH	127
ces_30.sample_CH00357	MODERATE	2977
ces_30.sample_CH00357	MODIFIER	929
ces_30.sample_CH00357	LOW	4385
ces_30.sample_CH00360	HIGH	134
ces_30.sample_CH00360	MODERATE	3021
ces_30.sample_CH00360	MODIFIER	946
ces_30.sample_CH00360	LOW	4431
ces_30.sample_CH00367	HIGH	124
ces_30.sample_CH00367	MODERATE	3062
ces_30.sample_CH00367	MODIFIER	946
ces_30.sample_CH00367	LOW	4372
ces_30.sample_CH00380	HIGH	147
ces_30.sample_CH00380	MODERATE	3096
ces_30.sample_CH00380	MODIFIER	950
ces_30.sample_CH00380	LOW	4295
ces_30.sample_CH00382	HIGH	142
ces_30.sample_CH00382	MODERATE	3019
ces_30.sample_CH00382	MODIFIER	915
ces_30.sample_CH00382	LOW	4354
ces_30.sample_CH00385	HIGH	140
ces_30.sample_CH00385	MODERATE	3042
ces_30.sample_CH00385	MODIFIER	905
ces_30.sample_CH00385	LOW	4417
ces_30.sample_CH00388	HIGH	143
ces_30.sample_CH00388	MODERATE	3086
ces_30.sample_CH00388	MODIFIER	930
ces_30.sample_CH00388	LOW	4422
ces_30.sample_CH00658	HIGH	154
ces_30.sample_CH00658	MODERATE	3109
ces_30.sample_CH00658	MODIFIER	952
ces_30.sample_CH00658	LOW	4600
ces_30.sample_F	HIGH	68
ces_30.sample_F	MODERATE	1527
ces_30.sample_F	MODIFIER	454
ces_30.sample_F	LOW	2133
ces_32.sample_CH01191	HIGH	123
ces_32.sample_CH01191	MODERATE	2987
ces_32.sample_CH01191	MODIFIER	918
ces_32.sample_CH01191	LOW	4288
ces_32.sample_CH01194	HIGH	124
ces_32.sample_CH01194	MODERATE	2960
ces_32.sample_CH01194	MODIFIER	962
ces_32.sample_CH01194	LOW	4348
ces_32.sample_CH01197	HIGH	134
ces_32.sample_CH01197	MODERATE	3032
ces_32.sample_CH01197	MODIFIER	947
ces_32.sample_CH01197	LOW	4335
ces_32.sample_CH01200	HIGH	167
ces_32.sample_CH01200	MODERATE	3102
ces_32.sample_CH01200	MODIFIER	935
ces_32.sample_CH01200	LOW	4462
ces_32.sample_CH01203	HIGH	142
ces_32.sample_CH01203	MODERATE	3020
ces_32.sample_CH01203	MODIFIER	913
ces_32.sample_CH01203	LOW	4456
ces_32.sample_CH01204	HIGH	129
ces_32.sample_CH01204	MODERATE	2969
ces_32.sample_CH01204	MODIFIER	918
ces_32.sample_CH01204	LOW	4313
ces_32.sample_CH01206	HIGH	127
ces_32.sample_CH01206	MODERATE	2876
ces_32.sample_CH01206	MODIFIER	914
ces_32.sample_CH01206	LOW	4224
ces_32.sample_CH01207	HIGH	136
ces_32.sample_CH01207	MODERATE	2976
ces_32.sample_CH01207	MODIFIER	915
ces_32.sample_CH01207	LOW	4401
ces_32.sample_CH01208	HIGH	137
ces_32.sample_CH01208	MODERATE	3064
ces_32.sample_CH01208	MODIFIER	941
ces_32.sample_CH01208	LOW	4427
ces_32.sample_CH01209	HIGH	143
ces_32.sample_CH01209	MODERATE	3110
ces_32.sample_CH01209	MODIFIER	920
ces_32.sample_CH01209	LOW	4460
ces_32.sample_CH01210	HIGH	112
ces_32.sample_CH01210	MODERATE	2997
ces_32.sample_CH01210	MODIFIER	908
ces_32.sample_CH01210	LOW	4307
ces_32.sample_CH01211	HIGH	133
ces_32.sample_CH01211	MODERATE	2965
ces_32.sample_CH01211	MODIFIER	920
ces_32.sample_CH01211	LOW	4359
ces_32.sample_CH01212	HIGH	127
ces_32.sample_CH01212	MODERATE	3048
ces_32.sample_CH01212	MODIFIER	904
ces_32.sample_CH01212	LOW	4272
ces_32.sample_CH01214	HIGH	136
ces_32.sample_CH01214	MODERATE	3046
ces_32.sample_CH01214	MODIFIER	956
ces_32.sample_CH01214	LOW	4498
ces_32.sample_CH01215	HIGH	119
ces_32.sample_CH01215	MODERATE	3060
ces_32.sample_CH01215	MODIFIER	900
ces_32.sample_CH01215	LOW	4409
ces_32.sample_CH01216	HIGH	140
ces_32.sample_CH01216	MODERATE	2948
ces_32.sample_CH01216	MODIFIER	902
ces_32.sample_CH01216	LOW	4368
ces_32.sample_CH01217	HIGH	129
ces_32.sample_CH01217	MODERATE	2882
ces_32.sample_CH01217	MODIFIER	885
ces_32.sample_CH01217	LOW	4300
ces_32.sample_CH01218	HIGH	146
ces_32.sample_CH01218	MODERATE	2990
ces_32.sample_CH01218	MODIFIER	923
ces_32.sample_CH01218	LOW	4342
ces_32.sample_CH01219	HIGH	127
ces_32.sample_CH01219	MODERATE	2921
ces_32.sample_CH01219	MODIFIER	868
ces_32.sample_CH01219	LOW	4303
ces_32.sample_CH01220	HIGH	122
ces_32.sample_CH01220	MODERATE	2959
ces_32.sample_CH01220	MODIFIER	916
ces_32.sample_CH01220	LOW	4342
ces_32.sample_CH01221	HIGH	133
ces_32.sample_CH01221	MODERATE	2991
ces_32.sample_CH01221	MODIFIER	888
ces_32.sample_CH01221	LOW	4343
ces_32.sample_CH01222	HIGH	126
ces_32.sample_CH01222	MODERATE	2939
ces_32.sample_CH01222	MODIFIER	877
ces_32.sample_CH01222	LOW	4290
ces_32.sample_CH01223	HIGH	57
ces_32.sample_CH01223	MODERATE	1641
ces_32.sample_CH01223	MODIFIER	429
ces_32.sample_CH01223	LOW	2324
ces_32.sample_CH01224	HIGH	134
ces_32.sample_CH01224	MODERATE	2983
ces_32.sample_CH01224	MODIFIER	885
ces_32.sample_CH01224	LOW	4379
ces_32.sample_CH01279	HIGH	163
ces_32.sample_CH01279	MODERATE	3064
ces_32.sample_CH01279	MODIFIER	928
ces_32.sample_CH01279	LOW	4413
run_1.sample_27	HIGH	560
run_1.sample_27	MODERATE	10477
run_1.sample_27	MODIFIER	11591
run_1.sample_27	LOW	12196
run_1.sample_59	HIGH	614
run_1.sample_59	MODERATE	10818
run_1.sample_59	MODIFIER	12337
run_1.sample_59	LOW	12621
run_1.sample_69	HIGH	618
run_1.sample_69	MODERATE	11267
run_1.sample_69	MODIFIER	12784
run_1.sample_69	LOW	12861
run_1.sample_70	HIGH	645
run_1.sample_70	MODERATE	11360
run_1.sample_70	MODIFIER	12883
run_1.sample_70	LOW	12921
run_1.sample_77	HIGH	587
run_1.sample_77	MODERATE	11104
run_1.sample_77	MODIFIER	12627
run_1.sample_77	LOW	12803
run_1.sample_78	HIGH	600
run_1.sample_78	MODERATE	10951
run_1.sample_78	MODIFIER	12384
run_1.sample_78	LOW	12479
run_10.sample_417	HIGH	687
run_10.sample_417	MODERATE	11552
run_10.sample_417	MODIFIER	13376
run_10.sample_417	LOW	13149
run_10.sample_470	HIGH	632
run_10.sample_470	MODERATE	11488
run_10.sample_470	MODIFIER	12884
run_10.sample_470	LOW	12896
run_10.sample_48	HIGH	608
run_10.sample_48	MODERATE	11354
run_10.sample_48	MODIFIER	12964
run_10.sample_48	LOW	13101
run_10.sample_49	HIGH	563
run_10.sample_49	MODERATE	11305
run_10.sample_49	MODIFIER	12316
run_10.sample_49	LOW	12967
run_10.sample_50	HIGH	705
run_10.sample_50	MODERATE	11488
run_10.sample_50	MODIFIER	13395
run_10.sample_50	LOW	13067
run_10.sample_524	HIGH	642
run_10.sample_524	MODERATE	11210
run_10.sample_524	MODIFIER	12986
run_10.sample_524	LOW	12865
run_10.sample_54	HIGH	665
run_10.sample_54	MODERATE	11466
run_10.sample_54	MODIFIER	12947
run_10.sample_54	LOW	13052
run_10.sample_561	HIGH	637
run_10.sample_561	MODERATE	11372
run_10.sample_561	MODIFIER	12958
run_10.sample_561	LOW	13072
run_10.sample_564	HIGH	627
run_10.sample_564	MODERATE	11290
run_10.sample_564	MODIFIER	12837
run_10.sample_564	LOW	12953
run_10.sample_75-16	HIGH	634
run_10.sample_75-16	MODERATE	11471
run_10.sample_75-16	MODIFIER	12870
run_10.sample_75-16	LOW	12915
run_11.sample_544	HIGH	611
run_11.sample_544	MODERATE	11309
run_11.sample_544	MODIFIER	12664
run_11.sample_544	LOW	12929
run_11.sample_554	HIGH	648
run_11.sample_554	MODERATE	11404
run_11.sample_554	MODIFIER	12923
run_11.sample_554	LOW	12811
run_11.sample_558	HIGH	611
run_11.sample_558	MODERATE	11396
run_11.sample_558	MODIFIER	13010
run_11.sample_558	LOW	13092
run_11.sample_565	HIGH	622
run_11.sample_565	MODERATE	11468
run_11.sample_565	MODIFIER	12728
run_11.sample_565	LOW	12829
run_11.sample_570	HIGH	627
run_11.sample_570	MODERATE	11176
run_11.sample_570	MODIFIER	12693
run_11.sample_570	LOW	12809
run_11.sample_578	HIGH	643
run_11.sample_578	MODERATE	11482
run_11.sample_578	MODIFIER	12974
run_11.sample_578	LOW	12989
run_11.sample_579	HIGH	633
run_11.sample_579	MODERATE	11444
run_11.sample_579	MODIFIER	12941
run_11.sample_579	LOW	13039
run_11.sample_580	HIGH	660
run_11.sample_580	MODERATE	11196
run_11.sample_580	MODIFIER	12747
run_11.sample_580	LOW	12757
run_11.sample_581	HIGH	648
run_11.sample_581	MODERATE	11527
run_11.sample_581	MODIFIER	13033
run_11.sample_581	LOW	13098
run_11.sample_582	HIGH	678
run_11.sample_582	MODERATE	11178
run_11.sample_582	MODIFIER	12606
run_11.sample_582	LOW	12759
run_12.sample_13	HIGH	597
run_12.sample_13	MODERATE	11138
run_12.sample_13	MODIFIER	12144
run_12.sample_13	LOW	12506
run_12.sample_231-16	HIGH	627
run_12.sample_231-16	MODERATE	11230
run_12.sample_231-16	MODIFIER	12356
run_12.sample_231-16	LOW	12693
run_12.sample_232-16	HIGH	644
run_12.sample_232-16	MODERATE	11441
run_12.sample_232-16	MODIFIER	12315
run_12.sample_232-16	LOW	12759
run_12.sample_29	HIGH	611
run_12.sample_29	MODERATE	11171
run_12.sample_29	MODIFIER	12499
run_12.sample_29	LOW	12826
run_12.sample_30	HIGH	618
run_12.sample_30	MODERATE	11288
run_12.sample_30	MODIFIER	12673
run_12.sample_30	LOW	12837
run_12.sample_31	HIGH	614
run_12.sample_31	MODERATE	11204
run_12.sample_31	MODIFIER	12503
run_12.sample_31	LOW	12762
run_12.sample_32	HIGH	611
run_12.sample_32	MODERATE	11135
run_12.sample_32	MODIFIER	12359
run_12.sample_32	LOW	12845
run_12.sample_BR51	HIGH	642
run_12.sample_BR51	MODERATE	11391
run_12.sample_BR51	MODIFIER	12320
run_12.sample_BR51	LOW	12867
run_12.sample_BR52	HIGH	611
run_12.sample_BR52	MODERATE	11316
run_12.sample_BR52	MODIFIER	12412
run_12.sample_BR52	LOW	12800
run_12.sample_BR53	HIGH	655
run_12.sample_BR53	MODERATE	11361
run_12.sample_BR53	MODIFIER	12553
run_12.sample_BR53	LOW	12727
run_14.sample_14	HIGH	634
run_14.sample_14	MODERATE	11202
run_14.sample_14	MODIFIER	12890
run_14.sample_14	LOW	12829
run_14.sample_15	HIGH	626
run_14.sample_15	MODERATE	11258
run_14.sample_15	MODIFIER	12998
run_14.sample_15	LOW	12831
run_14.sample_16	HIGH	660
run_14.sample_16	MODERATE	11443
run_14.sample_16	MODIFIER	12663
run_14.sample_16	LOW	12757
run_14.sample_17	HIGH	663
run_14.sample_17	MODERATE	11401
run_14.sample_17	MODIFIER	12797
run_14.sample_17	LOW	13060
run_14.sample_18	HIGH	658
run_14.sample_18	MODERATE	11425
run_14.sample_18	MODIFIER	12951
run_14.sample_18	LOW	13020
run_14.sample_2	HIGH	664
run_14.sample_2	MODERATE	11484
run_14.sample_2	MODIFIER	12878
run_14.sample_2	LOW	13091
run_14.sample_60	HIGH	604
run_14.sample_60	MODERATE	11387
run_14.sample_60	MODIFIER	12855
run_14.sample_60	LOW	12930
run_14.sample_61	HIGH	617
run_14.sample_61	MODERATE	11288
run_14.sample_61	MODIFIER	12781
run_14.sample_61	LOW	12810
run_14.sample_66	HIGH	670
run_14.sample_66	MODERATE	11527
run_14.sample_66	MODIFIER	12886
run_14.sample_66	LOW	13076
run_14.sample_67	HIGH	668
run_14.sample_67	MODERATE	11253
run_14.sample_67	MODIFIER	12768
run_14.sample_67	LOW	12879
run_15.sample_19	HIGH	610
run_15.sample_19	MODERATE	11030
run_15.sample_19	MODIFIER	12306
run_15.sample_19	LOW	12571
run_15.sample_20	HIGH	637
run_15.sample_20	MODERATE	11268
run_15.sample_20	MODIFIER	12505
run_15.sample_20	LOW	12659
run_15.sample_21	HIGH	656
run_15.sample_21	MODERATE	11418
run_15.sample_21	MODIFIER	12761
run_15.sample_21	LOW	13010
run_15.sample_22	HIGH	624
run_15.sample_22	MODERATE	11401
run_15.sample_22	MODIFIER	12277
run_15.sample_22	LOW	12622
run_15.sample_23	HIGH	604
run_15.sample_23	MODERATE	11155
run_15.sample_23	MODIFIER	12647
run_15.sample_23	LOW	12547
run_15.sample_24	HIGH	653
run_15.sample_24	MODERATE	11410
run_15.sample_24	MODIFIER	12654
run_15.sample_24	LOW	12891
