EXPTYPE	SAMPLE	TYPE	COUNT
wes	SAlmaz04	MODIFIER	34203
wes	SAlmaz04	LOW	12772
wes	SAlmaz05	HIGH	529
wes	SAlmaz05	MODERATE	10217
wes	SAlmaz05	MODIFIER	33463
wes	SAlmaz05	LOW	12645
wes	SAlmaz06	HIGH	576
wes	SAlmaz06	MODERATE	10364
wes	SAlmaz06	MODIFIER	33982
wes	SAlmaz06	LOW	12637
wes	SAlmaz07	HIGH	578
wes	SAlmaz07	MODERATE	10271
wes	SAlmaz07	MODIFIER	33535
wes	SAlmaz07	LOW	12511
wes	SAlmaz08	HIGH	548
wes	SAlmaz08	MODERATE	10313
wes	SAlmaz08	MODIFIER	33564
wes	SAlmaz08	LOW	12581
wes	SAlmaz09	HIGH	584
wes	SAlmaz09	MODERATE	10458
wes	SAlmaz09	MODIFIER	34012
wes	SAlmaz09	LOW	12630
wes	SB0-0002	HIGH	625
wes	SB0-0002	MODERATE	11023
wes	SB0-0002	MODIFIER	13753
wes	SB0-0002	LOW	13746
wes	SB0-0005	HIGH	665
wes	SB0-0005	MODERATE	11386
wes	SB0-0005	MODIFIER	13824
wes	SB0-0005	LOW	13686
wes	SB00009	HIGH	390
wes	SB00009	MODERATE	7356
wes	SB00009	MODIFIER	7497
wes	SB00009	LOW	8687
wes	SB1-0002	HIGH	647
wes	SB1-0002	MODERATE	11343
wes	SB1-0002	MODIFIER	13802
wes	SB1-0002	LOW	13867
wes	SB1-0003	HIGH	679
wes	SB1-0003	MODERATE	11485
wes	SB1-0003	MODIFIER	14113
wes	SB1-0003	LOW	13787
wes	SB1-0020	HIGH	661
wes	SB1-0020	MODERATE	11107
wes	SB1-0020	MODIFIER	13888
wes	SB1-0020	LOW	13573
wes	SB1-0055	HIGH	646
wes	SB1-0055	MODERATE	11371
wes	SB1-0055	MODIFIER	13830
wes	SB1-0055	LOW	13860
wes	SB1-0089	HIGH	652
wes	SB1-0089	MODERATE	11235
wes	SB1-0089	MODIFIER	14001
wes	SB1-0089	LOW	13924
wes	SB1-0327	HIGH	681
wes	SB1-0327	MODERATE	11463
wes	SB1-0327	MODIFIER	13794
wes	SB1-0327	LOW	13880
wes	SB10001	HIGH	662
wes	SB10001	MODERATE	11163
wes	SB10001	MODIFIER	13748
wes	SB10001	LOW	13637
wes	SB10050	HIGH	641
wes	SB10050	MODERATE	11024
wes	SB10050	MODIFIER	13821
wes	SB10050	LOW	13364
wes	SB10079	HIGH	650
wes	SB10079	MODERATE	10980
wes	SB10079	MODIFIER	13703
wes	SB10079	LOW	13450
wes	SB10083	HIGH	639
wes	SB10083	MODERATE	11206
wes	SB10083	MODIFIER	13797
wes	SB10083	LOW	13803
wes	SB10087	HIGH	669
wes	SB10087	MODERATE	11355
wes	SB10087	MODIFIER	13760
wes	SB10087	LOW	13720
wes	SB10095	HIGH	696
wes	SB10095	MODERATE	11218
wes	SB10095	MODIFIER	13916
wes	SB10095	LOW	13652
wes	SB10117	HIGH	382
wes	SB10117	MODERATE	6814
wes	SB10117	MODIFIER	6902
wes	SB10117	LOW	8095
wes	SB4-0003	HIGH	633
wes	SB4-0003	MODERATE	11319
wes	SB4-0003	MODIFIER	14048
wes	SB4-0003	LOW	13791
wes	SB4-0004	HIGH	643
wes	SB4-0004	MODERATE	11214
wes	SB4-0004	MODIFIER	13892
wes	SB4-0004	LOW	13597
wes	SB4-0008	HIGH	656
wes	SB4-0008	MODERATE	11151
wes	SB4-0008	MODIFIER	13614
wes	SB4-0008	LOW	13620
wes	SB4-0022	HIGH	677
wes	SB4-0022	MODERATE	11107
wes	SB4-0022	MODIFIER	14028
wes	SB4-0022	LOW	13647
wes	SB4-0032	HIGH	671
wes	SB4-0032	MODERATE	11243
wes	SB4-0032	MODIFIER	13887
wes	SB4-0032	LOW	13671
wes	SB4-0040	HIGH	670
wes	SB4-0040	MODERATE	11248
wes	SB4-0040	MODIFIER	13995
wes	SB4-0040	LOW	13776
wes	SB40014	HIGH	651
wes	SB40014	MODERATE	11430
wes	SB40014	MODIFIER	13953
wes	SB40014	LOW	13877
wes	SB40027	HIGH	658
wes	SB40027	MODERATE	11219
wes	SB40027	MODIFIER	13787
wes	SB40027	LOW	13752
wes	SB40038	HIGH	665
wes	SB40038	MODERATE	11332
wes	SB40038	MODIFIER	13740
wes	SB40038	LOW	13724
wes	SB40039	HIGH	438
wes	SB40039	MODERATE	8227
wes	SB40039	MODIFIER	8695
wes	SB40039	LOW	9785
wes	SB4006	HIGH	629
wes	SB4006	MODERATE	10991
wes	SB4006	MODIFIER	13864
wes	SB4006	LOW	13630
wes	SBR045	HIGH	608
wes	SBR045	MODERATE	10736
wes	SBR045	MODIFIER	11499
wes	SBR045	LOW	12190
wes	SBR045n	HIGH	617
wes	SBR045n	MODERATE	11143
wes	SBR045n	MODIFIER	12388
wes	SBR045n	LOW	12855
wes	SBR117	HIGH	623
wes	SBR117	MODERATE	10512
wes	SBR117	MODIFIER	12554
wes	SBR117	LOW	12921
wes	SBR124	HIGH	610
wes	SBR124	MODERATE	11177
wes	SBR124	MODIFIER	13678
wes	SBR124	LOW	13751
wes	SBR125	HIGH	652
wes	SBR125	MODERATE	11329
wes	SBR125	MODIFIER	14169
wes	SBR125	LOW	13880
wes	SBR126	HIGH	653
wes	SBR126	MODERATE	11093
wes	SBR126	MODIFIER	13865
wes	SBR126	LOW	13630
wes	SBR127	HIGH	698
wes	SBR127	MODERATE	11141
wes	SBR127	MODIFIER	13769
wes	SBR127	LOW	13579
wes	SBR128	HIGH	642
wes	SBR128	MODERATE	11043
wes	SBR128	MODIFIER	13751
wes	SBR128	LOW	13558
wes	SBR129	HIGH	633
wes	SBR129	MODERATE	10803
wes	SBR129	MODIFIER	13734
wes	SBR129	LOW	13366
wes	SBR130	HIGH	654
wes	SBR130	MODERATE	11228
wes	SBR130	MODIFIER	13870
wes	SBR130	LOW	13725
wes	SBR133	HIGH	620
wes	SBR133	MODERATE	11011
wes	SBR133	MODIFIER	13401
wes	SBR133	LOW	13488
wes	SBR134	HIGH	681
wes	SBR134	MODERATE	11248
wes	SBR134	MODIFIER	13772
wes	SBR134	LOW	13740
wes	SBR135	HIGH	597
wes	SBR135	MODERATE	10959
wes	SBR135	MODIFIER	13543
wes	SBR135	LOW	13539
wes	SBR136	HIGH	577
wes	SBR136	MODERATE	10473
wes	SBR136	MODIFIER	12372
wes	SBR136	LOW	12673
wes	SBR137	HIGH	622
wes	SBR137	MODERATE	11153
wes	SBR137	MODIFIER	13262
wes	SBR137	LOW	13488
wes	SBR138	HIGH	573
wes	SBR138	MODERATE	10578
wes	SBR138	MODIFIER	12408
wes	SBR138	LOW	12869
wes	SBR139	HIGH	630
wes	SBR139	MODERATE	11006
wes	SBR139	MODIFIER	13545
wes	SBR139	LOW	13491
wes	SBR140	HIGH	648
wes	SBR140	MODERATE	11238
wes	SBR140	MODIFIER	14055
wes	SBR140	LOW	13783
wes	SBR141	HIGH	614
wes	SBR141	MODERATE	11012
wes	SBR141	MODIFIER	13381
wes	SBR141	LOW	13536
wes	SBR142	HIGH	663
wes	SBR142	MODERATE	11007
wes	SBR142	MODIFIER	13512
wes	SBR142	LOW	13559
wes	SBR143	HIGH	629
wes	SBR143	MODERATE	11289
wes	SBR143	MODIFIER	13578
wes	SBR143	LOW	13679
wes	SBR146	HIGH	632
wes	SBR146	MODERATE	11004
wes	SBR146	MODIFIER	13454
wes	SBR146	LOW	13649
wes	SBR147	HIGH	664
wes	SBR147	MODERATE	11475
wes	SBR147	MODIFIER	13698
wes	SBR147	LOW	13718
wes	SBR148	HIGH	624
wes	SBR148	MODERATE	10958
wes	SBR148	MODIFIER	13143
wes	SBR148	LOW	13370
wes	SBR150	HIGH	605
wes	SBR150	MODERATE	10966
wes	SBR150	MODIFIER	13587
wes	SBR150	LOW	13520
wes	SBR155	HIGH	607
wes	SBR155	MODERATE	10918
wes	SBR155	MODIFIER	13232
wes	SBR155	LOW	13374
wes	SBR157	HIGH	579
wes	SBR157	MODERATE	10780
wes	SBR157	MODIFIER	12667
wes	SBR157	LOW	13062
wes	SBR158	HIGH	646
wes	SBR158	MODERATE	11115
wes	SBR158	MODIFIER	13615
wes	SBR158	LOW	13457
wes	SBR159	HIGH	633
wes	SBR159	MODERATE	11167
wes	SBR159	MODIFIER	13592
wes	SBR159	LOW	13727
wes	SBR160	HIGH	661
wes	SBR160	MODERATE	11260
wes	SBR160	MODIFIER	13139
wes	SBR160	LOW	13548
wes	SBR161	HIGH	657
wes	SBR161	MODERATE	11229
wes	SBR161	MODIFIER	13714
wes	SBR161	LOW	13700
wes	SBR162	HIGH	592
wes	SBR162	MODERATE	10737
wes	SBR162	MODIFIER	13105
wes	SBR162	LOW	13217
wes	SBR165	HIGH	622
wes	SBR165	MODERATE	11161
wes	SBR165	MODIFIER	13134
wes	SBR165	LOW	13465
wes	SBR169	HIGH	650
wes	SBR169	MODERATE	11292
wes	SBR169	MODIFIER	13736
wes	SBR169	LOW	13895
wes	SBR170	HIGH	641
wes	SBR170	MODERATE	11105
wes	SBR170	MODIFIER	13867
wes	SBR170	LOW	13631
wes	SBR175	HIGH	643
wes	SBR175	MODERATE	10975
wes	SBR175	MODIFIER	13660
wes	SBR175	LOW	13567
wes	SBR176	HIGH	658
wes	SBR176	MODERATE	11085
wes	SBR176	MODIFIER	13866
wes	SBR176	LOW	13800
wes	SBR177	HIGH	661
wes	SBR177	MODERATE	11093
wes	SBR177	MODIFIER	13675
wes	SBR177	LOW	13623
wes	SBR180	HIGH	619
wes	SBR180	MODERATE	11096
wes	SBR180	MODIFIER	13931
wes	SBR180	LOW	13623
wes	SBR181	HIGH	628
wes	SBR181	MODERATE	11094
wes	SBR181	MODIFIER	13688
wes	SBR181	LOW	13742
wes	SBR183	HIGH	608
wes	SBR183	MODERATE	11164
wes	SBR183	MODIFIER	13686
wes	SBR183	LOW	13700
wes	SBR184	HIGH	596
wes	SBR184	MODERATE	11105
wes	SBR184	MODIFIER	12270
wes	SBR184	LOW	12531
wes	SBR185	HIGH	589
wes	SBR185	MODERATE	11044
wes	SBR185	MODIFIER	12227
wes	SBR185	LOW	12662
wes	SBR186	HIGH	589
wes	SBR186	MODERATE	10988
wes	SBR186	MODIFIER	12251
wes	SBR186	LOW	12486
wes	SBR188	HIGH	603
wes	SBR188	MODERATE	10749
wes	SBR188	MODIFIER	11946
wes	SBR188	LOW	12442
wes	SBR190	HIGH	630
wes	SBR190	MODERATE	10921
wes	SBR190	MODIFIER	13485
wes	SBR190	LOW	13572
wes	SBR191	HIGH	625
wes	SBR191	MODERATE	11100
wes	SBR191	MODIFIER	13513
wes	SBR191	LOW	13783
wes	SBR193	HIGH	647
wes	SBR193	MODERATE	11293
wes	SBR193	MODIFIER	13619
wes	SBR193	LOW	13670
wes	SBR197	HIGH	612
wes	SBR197	MODERATE	11128
wes	SBR197	MODIFIER	13623
wes	SBR197	LOW	13665
wes	SBR198	HIGH	622
wes	SBR198	MODERATE	10949
wes	SBR198	MODIFIER	13569
wes	SBR198	LOW	13703
wes	SBR200	HIGH	649
wes	SBR200	MODERATE	11258
wes	SBR200	MODIFIER	13652
wes	SBR200	LOW	13612
ces	SBR203	HIGH	99
ces	SBR203	MODERATE	2509
ces	SBR203	MODIFIER	696
ces	SBR203	LOW	3691
wes	SBR204	HIGH	656
wes	SBR204	MODERATE	11128
wes	SBR204	MODIFIER	13601
wes	SBR204	LOW	13524
wes	SBR205	HIGH	641
wes	SBR205	MODERATE	11035
wes	SBR205	MODIFIER	13790
wes	SBR205	LOW	13449
wes	SBR206	HIGH	642
wes	SBR206	MODERATE	11182
wes	SBR206	MODIFIER	13537
wes	SBR206	LOW	13565
wes	SBR207	HIGH	634
wes	SBR207	MODERATE	11141
wes	SBR207	MODIFIER	13698
wes	SBR207	LOW	13634
wes	SBR208	HIGH	644
wes	SBR208	MODERATE	11121
wes	SBR208	MODIFIER	13378
wes	SBR208	LOW	13708
wes	SBR209	HIGH	644
wes	SBR209	MODERATE	11148
wes	SBR209	MODIFIER	13601
wes	SBR209	LOW	13627
wes	SBR210	HIGH	640
wes	SBR210	MODERATE	11117
wes	SBR210	MODIFIER	13699
wes	SBR210	LOW	13567
wes	SBR214	HIGH	686
wes	SBR214	MODERATE	11284
wes	SBR214	MODIFIER	14210
wes	SBR214	LOW	13802
wes	SBR217	HIGH	597
wes	SBR217	MODERATE	10999
wes	SBR217	MODIFIER	13308
wes	SBR217	LOW	13384
wes	SBR218	HIGH	574
wes	SBR218	MODERATE	10907
wes	SBR218	MODIFIER	13313
wes	SBR218	LOW	13318
wes	SBR219	HIGH	628
wes	SBR219	MODERATE	11038
wes	SBR219	MODIFIER	13522
wes	SBR219	LOW	13481
wes	SBR220	HIGH	659
wes	SBR220	MODERATE	11288
wes	SBR220	MODIFIER	13581
wes	SBR220	LOW	13643
wes	SBR221	HIGH	597
wes	SBR221	MODERATE	10950
wes	SBR221	MODIFIER	13739
wes	SBR221	LOW	13417
wes	SBR222	HIGH	655
wes	SBR222	MODERATE	11039
wes	SBR222	MODIFIER	13653
wes	SBR222	LOW	13750
wes	SBR223	HIGH	615
wes	SBR223	MODERATE	11007
wes	SBR223	MODIFIER	13666
wes	SBR223	LOW	13524
wes	SBR224	HIGH	638
wes	SBR224	MODERATE	11108
wes	SBR224	MODIFIER	13473
wes	SBR224	LOW	13545
wes	SBR225	HIGH	651
wes	SBR225	MODERATE	11172
wes	SBR225	MODIFIER	13684
wes	SBR225	LOW	13618
wes	SBR227	HIGH	629
wes	SBR227	MODERATE	11204
wes	SBR227	MODIFIER	13633
wes	SBR227	LOW	13594
wes	SBR228X	HIGH	650
wes	SBR228X	MODERATE	11128
wes	SBR228X	MODIFIER	13764
wes	SBR228X	LOW	13653
wes	SBR229	HIGH	661
wes	SBR229	MODERATE	11222
wes	SBR229	MODIFIER	13894
wes	SBR229	LOW	13752
wes	SBR230	HIGH	653
wes	SBR230	MODERATE	10966
wes	SBR230	MODIFIER	13553
wes	SBR230	LOW	13580
wes	SBR233	HIGH	629
wes	SBR233	MODERATE	11072
wes	SBR233	MODIFIER	13421
wes	SBR233	LOW	13630
wes	SBR237	HIGH	592
wes	SBR237	MODERATE	11080
wes	SBR237	MODIFIER	12446
wes	SBR237	LOW	12682
wes	SBR238	HIGH	587
wes	SBR238	MODERATE	11295
wes	SBR238	MODIFIER	12419
wes	SBR238	LOW	12909
wes	SBR239	HIGH	644
wes	SBR239	MODERATE	11109
wes	SBR239	MODIFIER	13527
wes	SBR239	LOW	13586
wes	SBR240	HIGH	576
wes	SBR240	MODERATE	10978
wes	SBR240	MODIFIER	13534
wes	SBR240	LOW	13460
wes	SBR241	HIGH	626
wes	SBR241	MODERATE	10991
wes	SBR241	MODIFIER	13451
wes	SBR241	LOW	13598
wes	SBR242	HIGH	647
wes	SBR242	MODERATE	11145
wes	SBR242	MODIFIER	13612
wes	SBR242	LOW	13596
wes	SBR243	HIGH	605
wes	SBR243	MODERATE	10793
wes	SBR243	MODIFIER	13515
wes	SBR243	LOW	13440
wes	SBR244	HIGH	630
wes	SBR244	MODERATE	11260
wes	SBR244	MODIFIER	13724
wes	SBR244	LOW	13768
wes	SBR245	HIGH	636
wes	SBR245	MODERATE	10957
wes	SBR245	MODIFIER	13558
wes	SBR245	LOW	13657
wes	SBR246	HIGH	615
wes	SBR246	MODERATE	10949
wes	SBR246	MODIFIER	13398
wes	SBR246	LOW	13445
wes	SBR247	HIGH	625
wes	SBR247	MODERATE	11043
wes	SBR247	MODIFIER	13684
wes	SBR247	LOW	13487
wes	SBR248	HIGH	638
wes	SBR248	MODERATE	11059
wes	SBR248	MODIFIER	13789
wes	SBR248	LOW	13795
wes	SBR250	HIGH	636
wes	SBR250	MODERATE	11509
wes	SBR250	MODIFIER	12991
wes	SBR250	LOW	13014
wes	SBR251	HIGH	621
wes	SBR251	MODERATE	11150
wes	SBR251	MODIFIER	12431
wes	SBR251	LOW	12677
wes	SBR252	HIGH	631
wes	SBR252	MODERATE	10996
wes	SBR252	MODIFIER	12434
wes	SBR252	LOW	12440
wes	SBR253	HIGH	576
wes	SBR253	MODERATE	11039
wes	SBR253	MODIFIER	12631
wes	SBR253	LOW	12800
wes	SBR254	HIGH	587
wes	SBR254	MODERATE	11420
wes	SBR254	MODIFIER	12930
wes	SBR254	LOW	13009
wes	SBR255	HIGH	626
wes	SBR255	MODERATE	11281
wes	SBR255	MODIFIER	12755
wes	SBR255	LOW	12889
wes	SBR257	HIGH	629
wes	SBR257	MODERATE	11459
wes	SBR257	MODIFIER	12699
wes	SBR257	LOW	12874
wes	SBR259	HIGH	581
wes	SBR259	MODERATE	11117
wes	SBR259	MODIFIER	12473
wes	SBR259	LOW	12592
wes	SBR260	HIGH	619
wes	SBR260	MODERATE	11235
wes	SBR260	MODIFIER	12438
wes	SBR260	LOW	12753
wes	SBR264	HIGH	624
wes	SBR264	MODERATE	10996
wes	SBR264	MODIFIER	12207
wes	SBR264	LOW	12691
wes	SBR270	HIGH	645
wes	SBR270	MODERATE	11272
wes	SBR270	MODIFIER	12816
wes	SBR270	LOW	12759
wes	SBR271	HIGH	618
wes	SBR271	MODERATE	11178
wes	SBR271	MODIFIER	13798
wes	SBR271	LOW	13842
wes	SBR272	HIGH	639
wes	SBR272	MODERATE	11128
wes	SBR272	MODIFIER	13546
wes	SBR272	LOW	13571
wes	SBR273	HIGH	681
wes	SBR273	MODERATE	11100
wes	SBR273	MODIFIER	13580
wes	SBR273	LOW	13807
wes	SBR275	HIGH	640
wes	SBR275	MODERATE	11193
wes	SBR275	MODIFIER	13866
wes	SBR275	LOW	13763
wes	SBR276	HIGH	653
wes	SBR276	MODERATE	11153
wes	SBR276	MODIFIER	13884
wes	SBR276	LOW	13604
wes	SBR277	HIGH	604
wes	SBR277	MODERATE	11169
wes	SBR277	MODIFIER	13789
wes	SBR277	LOW	13672
wes	SBR278	HIGH	616
wes	SBR278	MODERATE	10766
wes	SBR278	MODIFIER	13390
wes	SBR278	LOW	13439
wes	SBR279	HIGH	620
wes	SBR279	MODERATE	11109
wes	SBR279	MODIFIER	13684
wes	SBR279	LOW	13609
wes	SBR280	HIGH	656
wes	SBR280	MODERATE	11091
wes	SBR280	MODIFIER	13774
wes	SBR280	LOW	13554
wes	SBR282	HIGH	635
wes	SBR282	MODERATE	11166
wes	SBR282	MODIFIER	13829
wes	SBR282	LOW	13731
wes	SBR284	HIGH	645
wes	SBR284	MODERATE	11173
wes	SBR284	MODIFIER	13783
wes	SBR284	LOW	13741
wes	SBR285	HIGH	620
wes	SBR285	MODERATE	11333
wes	SBR285	MODIFIER	13840
wes	SBR285	LOW	13927
wes	SBR286	HIGH	640
wes	SBR286	MODERATE	11082
wes	SBR286	MODIFIER	13667
